trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-83.79844508736942,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-133.05377271588603,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-124.55941693162224,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-43.693100646671255,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-76.22232303490685,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-128.0688244839729,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-89.93075457540708,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",25,3,-92.69002345233957,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-50.95744903617054,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-102.30188456563212,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-140.0169696243981,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-96.55530512895365,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-178.81150932623746,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-88.95907744730876,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-64.91224261601565,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,10,-51.12018869014754,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,7,-78.44654626732985,"{0: 6, 1: 1, 2: 4, 3: 2, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-128.94713788763963,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-85.66056358712153,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-54.859797351067634,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,0,-73.74439705771896,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-84.4884678732588,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-41.024793417304245,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-99.96158355466721,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-36.85400665952571,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,2,-12.667068815960485,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-90.36095780672248,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,7,14.241937253936001,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,0,-16.200132823480317,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,0,-52.21594722742428,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,13,-28.304639796038366,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,0,-15.451398582363577,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,14,1.7697174471717272,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-82.62162815501155,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-41.43688047636274,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-59.9289882642462,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,0,-100.34355167236224,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,18,-29.115878979911844,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,0,-29.741298456026698,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
